NLOS,RANGE,FP_IDX,FP_AMP1,FP_AMP2,FP_AMP3,CIR_PWR,STDEV_NOISE,MAX_NOISE,RXPACC
1,7.76,749,6034,5254,6320,1673,284,4399,1025
1,1.07,752,156,12727,17920,9338,40,803,371
1,0.84,743,17150,17417,14149,9723,56,1443,264
0,1.13,750,2478,10539,12459,10193,72,1731,286
1,3.0,750,6214,14066,9668,7945,72,1083,1024
0,0.56,750,9100,5247,4124,6843,40,955,279
0,1.28,751,13609,17710,11805,8555,36,800,321
0,1.48,743,15490,17179,10341,9762,72,1842,264
1,3.61,747,11215,20086,15382,9186,60,895,646
1,7.1,746,5947,9896,7398,8170,76,1139,1024
0,5.06,747,18063,13125,9138,10186,52,780,597
1,3.23,744,1368,4857,7178,1420,88,1311,1024
0,2.6,743,7478,11747,8767,14567,56,898,423
0,3.86,744,2488,16361,16532,12760,52,781,553
0,0.91,750,120,18759,17715,9932,36,929,289
1,7.75,744,13079,18290,12095,20157,68,1024,1024
1,1.02,747,11167,3499,5123,8389,76,1131,568
0,3.76,750,20127,19748,12530,13039,68,1618,337
1,4.76,741,4568,3570,2317,8898,76,1152,1024
0,2.3,745,4595,1922,1360,12506,72,1258,426
1,2.93,747,10294,19468,14514,9938,48,710,523
0,3.0,747,9018,16637,9633,9874,88,1838,317
0,0.6,749,18477,5675,14870,12132,36,945,304
0,2.56,748,14264,15031,15006,12482,48,1008,318
0,2.21,748,3712,16895,16959,11420,68,1724,264
1,4.68,741,4773,5016,3306,4138,72,1078,1024
0,1.19,751,7464,18219,16305,8798,64,1692,266
0,2.09,743,18481,18662,10744,13794,108,2712,295
0,3.77,746,4684,11218,7324,11148,64,945,814
0,1.14,748,18966,17453,10032,11665,52,1389,278
0,1.63,746,1977,8991,5820,9912,92,2344,264
1,3.75,740,4397,881,2480,9019,80,1202,1024
1,4.09,749,2317,5113,4811,4605,68,1030,1024
0,1.19,750,11694,17629,12928,9499,104,2594,268
1,5.16,748,8785,5273,8364,6560,60,910,1024
0,1.47,745,11921,14455,11392,10896,76,1966,263
1,1.68,745,3875,10048,11673,10971,72,1067,653
1,6.34,741,848,2798,2640,510,68,1014,768
1,2.7,733,964,2021,2130,5179,68,1024,1024
1,8.79,744,1467,3573,2898,7643,68,1037,1024
1,6.18,744,6071,8678,6179,11132,52,780,497
1,8.89,750,17302,20420,11878,13756,68,1020,751
1,5.54,748,5070,8694,6654,3544,72,1076,1024
1,3.53,743,6229,4587,4490,3932,88,1320,1024
0,0.83,746,16210,19722,15213,11565,40,1035,299
0,5.25,751,6609,19636,20290,8585,48,1159,341
0,1.3,745,6832,14265,18049,10266,40,727,403
0,2.08,749,7825,18301,18413,12916,116,2635,322
1,1.57,751,11405,17407,13746,12750,60,898,607
1,4.59,742,474,2669,2116,946,80,1211,1024
0,1.1,749,17039,18044,14470,11239,96,2577,262
0,1.1,745,8789,10701,11350,10233,36,900,289
1,4.29,743,120,8574,9490,4043,76,1136,1024
0,1.83,751,4319,9503,8927,10580,96,2291,287
1,2.54,735,4458,2724,1895,3290,84,1260,1024
1,2.31,749,11273,18139,10830,8339,52,776,562
0,4.51,749,4878,14955,16582,8448,64,1311,312
0,3.51,747,5290,2108,5462,13858,100,1710,402
1,3.83,747,2655,3752,2554,11431,56,839,573
1,6.94,743,5005,8055,6207,9842,48,723,582
1,3.52,746,6762,1542,1415,10098,80,1202,1024
1,4.19,748,2460,5992,5984,2670,84,1253,1024
1,7.68,743,4677,1632,3666,8310,72,1091,1024
1,1.37,749,10656,10409,6753,8653,124,1885,469
1,4.64,737,1460,1361,1184,1375,76,1138,1024
0,1.26,751,12755,20324,16715,12597,88,1956,353
1,9.17,744,5002,7938,6339,9940,72,1094,1025
1,2.73,749,11983,18200,13815,6408,36,831,322
0,7.05,744,6726,1857,5172,2919,72,1075,1025
0,4.16,746,3013,18447,17713,7851,64,1546,305
1,5.8,747,6129,4071,2865,1404,68,1040,992
0,4.9,743,12861,17446,10414,5745,64,1559,291
1,5.25,750,1995,4224,6357,2200,88,1305,1024
0,0.7,745,7119,7085,5688,13412,52,1136,356
1,2.56,746,3914,6677,6954,5869,72,1088,1024
1,5.87,751,7037,18712,16716,7101,116,2015,460
0,1.06,745,8188,17277,15407,8932,68,1725,261
1,3.73,743,6250,5852,4431,3628,72,1082,1024
1,9.28,746,3490,3680,2762,4843,96,1434,1024
0,2.95,748,8865,12961,15925,8765,48,760,416
0,0.92,745,18538,17194,11205,15262,44,791,418
1,5.8,746,4651,13447,9311,14597,72,1078,1024
1,5.89,748,4326,4725,5485,2939,72,1100,1024
1,1.82,740,2086,2657,1835,2834,80,1199,1024
0,1.53,744,16348,18130,18409,13486,64,1386,330
0,2.31,746,14749,19012,15065,14676,56,1129,403
1,0.72,750,17373,17533,12864,9611,68,1725,267
0,0.07,749,18708,17536,9340,11070,68,1786,276
1,5.4,739,1107,1594,1723,4624,96,1420,1024
0,1.68,744,3930,9629,9239,9363,52,1294,299
0,1.9,749,9029,9113,13724,8798,52,1090,315
0,5.54,750,120,13179,15720,9625,72,1087,1024
1,6.26,749,5803,6970,9833,5345,80,1185,1024
1,4.19,747,1424,2792,1770,7386,40,801,372
1,3.6,747,3775,4647,3586,3211,76,1134,1024
0,5.78,750,10081,4854,9696,15831,56,950,429
1,4.98,747,3084,2419,3474,1933,72,1080,1024
1,5.98,749,6960,4592,9374,3128,192,2916,1024
1,5.8,744,3926,10575,10371,14123,52,794,488
0,0.83,748,17460,17311,14450,9226,100,2636,259
1,7.95,739,273,3854,3750,8079,76,1135,1024
0,6.96,744,6736,2493,1746,9393,68,1012,1024
0,1.25,745,16736,18146,16960,10919,84,2224,265
0,2.32,745,2173,16761,11339,8992,48,959,331
1,9.35,740,1468,1371,1054,5115,84,1256,1024
0,0.68,747,18569,18045,10214,10541,88,2337,269
1,9.07,747,13341,8468,6013,13232,64,950,792
0,3.56,744,4963,10545,12047,10651,40,681,415
0,2.51,749,1059,10953,12236,10114,40,723,390
0,0.7,751,16800,15468,12617,11955,100,2524,265
0,0.74,751,2770,17279,14960,12525,96,2273,279
1,1.93,746,7562,7724,6916,13260,64,955,1024
0,5.92,746,3928,13330,9422,22316,104,1559,563
0,6.25,746,13291,16702,13782,21519,64,953,668
1,1.27,746,15036,20153,18217,10148,76,1382,437
1,9.25,734,3094,4008,2489,5133,84,1233,1025
0,2.63,744,18607,5504,17005,10861,44,924,372
0,4.94,745,15817,20497,13954,16157,72,1070,721
1,1.8,745,1844,1659,1484,9017,48,1142,316
0,2.35,749,17248,6516,12578,19558,104,1763,426
1,6.51,740,1320,1686,1100,1644,80,1194,1024
1,3.34,745,5513,5247,5221,3717,76,1132,1024
0,0.56,751,17879,17769,14350,10909,108,2862,263
1,5.08,742,9674,10694,6747,6029,72,1075,1024
0,3.04,749,6836,12336,13419,16248,56,830,599
0,1.27,750,14613,16207,14131,11955,48,1234,289
1,5.75,749,3426,6898,6970,21818,72,1061,571
0,4.93,745,11496,17285,11768,6220,48,1113,296
1,8.66,736,2113,3446,2648,7652,68,1018,1025
1,3.23,746,9203,5868,5587,5583,72,1075,1024
1,4.45,743,1428,2391,2131,16143,68,1008,825
0,0.85,746,16374,16288,8715,11118,64,1555,275
1,2.32,743,5178,3626,2365,2322,84,1253,1024
0,1.78,745,2996,7560,11089,8026,40,955,274
0,1.82,749,14745,18736,14506,11504,56,1276,324
1,1.26,745,8204,12842,15271,13264,188,2886,1024
0,1.9,751,16314,16754,13924,8181,32,798,265
0,3.36,750,7260,17128,19250,10602,40,810,388
0,0.89,749,14216,17669,15252,10436,80,2135,261
1,3.22,748,10455,13756,10497,9750,72,1076,1024
1,6.29,742,7741,2417,2041,21084,64,958,570
0,0.82,750,6415,4023,5191,12301,48,1045,323
0,4.29,749,13063,16018,10980,23056,60,893,489
0,0.28,743,18515,18474,14786,12260,84,2240,267
1,1.68,748,10190,10046,11721,15863,252,3843,926
0,4.16,745,7694,13610,8927,8789,48,716,529
1,9.87,749,4329,12551,10804,9666,72,1090,1025
1,9.83,740,4650,1180,1513,4126,72,1071,1025
0,2.62,746,3591,5067,3000,7840,36,869,293
1,6.33,739,3958,898,3152,2723,72,1080,1024
0,1.8,750,3302,12716,19344,17701,108,2259,365
0,3.83,748,9329,17078,13316,11786,60,897,451
1,7.0,747,2754,1864,2653,17381,80,1192,700
1,9.76,736,1450,1809,1441,2392,72,1081,992
0,4.92,745,15821,20014,16402,9272,52,778,572
1,3.67,727,1303,1409,1263,1242,88,1320,1024
1,1.69,747,11941,19793,15357,7684,44,884,405
1,9.63,738,1197,1339,1003,3305,76,1129,1024
1,3.83,739,5518,6807,4186,7574,72,1072,1024
1,8.21,740,4115,3383,2921,9633,72,1092,1024
1,4.47,737,2074,2900,2363,2015,88,1305,1024
0,1.01,746,3772,18193,15226,12003,56,1225,334
0,2.68,747,10879,18898,17689,7914,68,1775,284
1,8.28,746,4686,7085,5441,6939,84,1242,1025
0,0.92,747,5603,17325,15802,10337,76,1859,270
0,1.86,747,1479,1819,1133,8066,56,1486,266
1,1.46,750,8114,20221,17841,11180,56,1111,419
0,2.36,751,19252,16757,11136,11478,60,890,539
1,6.53,750,2891,10558,13876,6575,252,3903,1024
1,1.86,744,3727,5590,5264,5569,72,1079,1024
1,1.07,743,15681,4026,5694,11433,128,1947,467
1,1.56,750,158,16329,17292,14175,72,1087,1024
0,2.02,750,16846,16914,16945,11467,48,1009,317
1,5.85,750,11268,16006,15063,16339,48,719,490
0,2.66,747,4101,11888,14803,14259,48,766,420
1,1.79,747,18127,18024,10497,17916,228,3501,827
0,0.78,745,17967,18306,13422,12147,56,1326,302
0,5.64,745,8105,6196,4957,15435,92,1495,479
0,1.39,749,12897,18892,11777,8061,60,1471,297
1,8.43,733,1999,911,1854,3029,88,1297,1024
0,1.36,747,8610,17599,16658,9308,64,1655,263
0,4.77,746,6384,18673,15906,6792,72,1673,317
0,5.65,744,2966,6094,3698,14538,108,1736,432
0,6.52,747,18346,9042,12670,12887,76,1536,376
0,3.53,748,13854,12224,13290,12686,100,1986,342
1,9.68,741,3849,6794,5187,5837,80,1178,1024
0,2.5,750,11878,17979,16521,9215,64,1550,289
1,7.25,745,2958,3513,2933,11362,60,895,481
0,3.6,748,4166,7674,11723,7934,48,1154,276
0,4.04,751,13515,16488,11054,11450,48,956,332
0,4.24,745,13591,10212,6679,10800,44,662,550
1,4.9,745,3139,3634,2866,12031,64,953,705
1,4.1,748,2338,5047,5276,1565,72,1085,1024
0,4.13,745,13592,19200,14718,10779,56,848,639
0,3.32,746,15562,11520,11445,11324,56,1275,340
0,2.56,745,16368,18593,14724,15472,48,712,531
1,1.08,748,18257,19992,14261,9854,48,1234,305
0,2.61,745,9376,14269,12113,10404,52,1041,343
1,3.36,745,12301,6619,4765,11856,60,907,658
0,1.57,749,12716,10076,7711,14083,72,1634,348
0,0.95,750,13860,20130,18246,13414,88,2234,310
1,0.8,746,17861,18606,10798,8779,52,1235,311
1,6.36,744,8516,11196,8296,3673,68,1031,1024
1,6.61,743,10548,8302,5480,7081,68,1022,899
0,1.87,743,11338,13647,7446,21516,124,2455,411
0,3.21,750,8213,10436,9398,10583,56,1174,325
0,3.99,750,8707,17913,16135,9295,76,1295,438
1,4.89,742,2194,5593,4416,1817,84,1259,1024
0,1.06,747,16963,18245,12893,11867,76,2015,276
0,4.8,749,8458,10115,9496,10951,52,782,611
0,0.84,746,18960,17975,11881,10870,60,1604,276
1,2.17,744,8077,18284,14500,11361,52,787,584
1,3.2,745,5623,6876,4314,7473,72,1085,1024
1,9.08,735,1858,1594,1118,3575,76,1151,1024
0,1.44,745,16968,17276,15309,8215,92,2307,261
1,3.68,748,15987,19773,14500,8907,60,900,618
1,6.38,740,3209,2652,4560,15017,80,1191,700
1,1.91,749,11573,14065,13645,12337,216,3325,797
0,0.69,746,3839,16657,17444,15545,128,3010,288
1,2.67,748,7863,12186,7388,10153,292,4498,1024
0,3.57,745,8685,17460,11673,10348,72,1161,453
0,6.19,749,3169,8008,5344,11939,92,1755,385
1,4.03,738,2779,2463,2007,4409,80,1192,1024
0,5.22,747,10900,15478,12835,12694,88,1770,347
0,2.5,752,13896,16931,12760,12097,76,1735,290
0,5.46,750,13491,19766,18851,10107,40,718,437
0,0.93,749,2717,12913,9028,17168,84,1734,363
1,2.35,733,732,2063,1649,796,72,1080,800
1,7.25,748,9004,6706,5972,10647,60,1190,354
1,7.71,746,4265,9698,10909,21040,64,966,629
0,1.39,749,18078,20032,16672,11653,84,2241,285
0,1.44,746,9066,8963,17476,11503,56,1095,351
0,3.55,748,17708,19573,16122,9673,60,1622,289
1,6.46,748,12459,12299,7264,14139,48,717,462
1,9.7,737,328,1271,2055,2260,84,1263,1024
0,4.13,744,9629,18951,16798,8795,64,1295,382
1,4.52,744,8121,5933,5717,8359,80,1194,1024
0,6.34,745,10859,17296,10501,9150,80,1181,880
1,6.34,748,3923,9123,6148,3936,120,1810,1024
1,4.56,747,4393,3306,2647,1575,72,1072,1024
1,3.89,741,1412,2189,1592,2572,80,1205,1024
0,2.0,746,18362,16870,17041,13171,44,1007,326
0,1.55,748,8105,18751,12407,12965,40,788,366
1,1.25,745,9300,15465,9120,11999,56,844,605
0,2.3,751,4945,14511,14573,17173,68,1159,399
1,7.5,748,5433,6444,5213,16253,76,1140,1024
1,6.56,748,6875,5559,5230,13720,68,1010,652
0,2.13,744,8548,18980,15853,9813,72,1845,283
0,3.39,748,11098,16663,11432,5727,52,1092,309
0,0.64,745,6634,17536,15558,12669,160,4192,275
0,1.21,747,17099,17949,12232,11429,56,1502,260
0,5.36,746,19173,19166,15773,9095,48,1298,280
1,3.51,741,6993,4012,3792,4677,80,1176,1024
0,0.28,750,13399,17611,14124,9093,68,1750,265
1,5.79,743,10349,19165,13056,8938,100,1497,905
1,1.83,749,9398,18278,10928,10101,192,2947,731
1,6.66,746,6870,10086,7716,3645,72,1083,1024
1,8.71,737,2026,3411,2293,4262,80,1184,1025
0,0.95,746,18001,15667,8830,8122,36,981,268
0,1.32,748,14154,17242,15260,11474,52,1329,261
0,4.04,750,13024,16649,12783,11814,84,1524,372
1,5.78,749,4808,11879,10886,4534,180,2728,1024
0,0.82,748,19248,19298,17658,11676,76,1933,289
1,1.17,748,8286,17761,10258,8596,68,1019,595
0,1.23,747,8758,16943,14920,9437,52,1080,316
1,6.14,750,9844,18341,18951,20926,68,1011,882
1,7.01,746,5369,10309,7113,3468,60,930,1024
0,1.95,746,3919,14032,17343,15851,64,1138,385
1,1.81,748,6828,8962,6313,9096,76,1133,1024
0,3.74,745,5845,14055,19971,9349,44,916,372
1,3.26,744,2457,6176,7468,2750,68,1029,1024
0,3.4,751,4051,11956,14193,8920,44,739,414
0,1.62,749,3784,11657,14028,12322,40,722,368
0,1.71,751,16766,8235,15336,11268,68,1868,266
0,3.86,750,13126,5301,14060,16892,104,1865,383
0,3.51,749,12996,19075,13291,9820,76,1125,636
1,4.4,745,6146,10266,7491,3234,84,1268,1024
1,3.11,742,1320,3712,2928,6422,72,1074,1024
0,1.6,747,5101,16880,17232,8659,84,2129,264
0,1.54,750,14675,19641,15404,15696,48,1010,374
0,0.39,746,17236,19253,17873,12426,92,2555,273
1,5.83,742,2455,3083,2630,1609,72,1074,1024
0,0.88,744,10219,17430,15583,8626,88,2275,264
1,2.17,747,5304,7498,7455,11153,72,1082,1024
0,2.32,750,16471,16822,10720,11888,60,1611,275
1,4.9,730,2898,4657,3303,1356,76,1138,1024
0,0.69,746,8937,13656,7701,11103,56,1478,275
0,3.72,747,9061,17373,19017,11005,72,1662,337
0,2.47,750,8934,16484,11974,10726,140,3295,267
0,1.86,749,12449,16713,13668,10068,64,1512,270
0,2.56,745,12239,17589,17543,8791,48,860,404
1,7.65,720,2606,1678,1296,3231,68,1019,1025
0,1.45,747,9659,14434,14600,13179,44,917,375
1,6.78,747,7011,10005,7737,3565,68,1020,1024
1,1.21,745,13867,17063,13879,11440,100,1495,470
0,1.03,751,18255,16289,16723,15553,80,1810,320
0,2.29,745,3553,17585,16160,7498,48,1200,282
1,7.06,746,3188,2078,1882,1388,76,1125,1024
1,1.29,747,4683,14256,12363,11085,128,1958,499
1,5.17,726,1251,1395,1015,4767,72,1070,1025
1,1.32,745,16006,13090,12602,10464,76,1236,456
1,3.5,747,3085,7081,8181,6890,112,1696,674
1,1.15,750,7135,16500,15907,8811,40,989,261
0,0.45,751,12501,19789,17695,12601,80,2133,289
0,2.9,747,19078,17800,13606,12300,84,1526,437
1,4.6,746,1914,4315,3320,8371,76,1154,1024
1,8.83,742,2875,3858,2691,12169,72,1094,1024
0,0.74,744,9081,13895,13839,13326,116,2636,302
0,4.65,746,4620,17508,17124,6985,76,1610,322
0,3.15,746,17838,16106,11614,12969,72,1572,327
0,4.08,748,7706,15072,9461,8258,56,837,663
0,1.24,749,17519,18447,16064,10195,84,2255,270
1,2.96,748,11731,18956,13995,7032,36,865,315
0,2.23,751,4143,16997,13187,8485,48,1099,298
0,0.79,751,18649,18278,15495,10150,92,2522,264
0,3.03,748,5018,14135,15557,9744,52,777,517
0,3.48,748,17519,14956,8833,10390,48,994,332
0,4.61,749,13362,17066,10023,6889,52,1151,311
0,2.62,751,3361,17675,12910,10387,44,1137,275
0,0.79,743,3559,9122,9417,18857,56,833,565
0,1.89,743,4008,1963,1311,8336,44,874,376
0,0.9,744,9269,16868,14869,11969,52,977,358
1,3.12,743,10092,18618,16137,9093,52,784,695
0,2.53,748,6225,16904,16051,8447,68,1643,281
1,2.63,748,8581,10754,11215,9704,44,656,494
0,1.65,750,13892,16848,13082,8000,40,1002,265
1,6.69,748,6263,7670,5111,2331,72,1082,1024
0,6.32,745,9001,18580,15337,6737,64,1020,481
1,1.55,744,13196,19323,16972,11921,60,898,697
1,4.15,747,1551,4810,4446,13605,64,961,773
1,2.69,743,4101,5444,3542,946,72,1082,960
0,1.49,749,10967,17990,15308,7496,40,1041,268
0,5.3,745,6642,18219,14522,12902,52,788,657
0,0.39,751,15882,19661,19276,12844,76,1935,300
0,0.69,750,6768,19568,16694,12747,72,1847,298
0,5.01,748,10068,11033,9368,14096,92,1851,359
1,3.53,748,7951,17033,12781,6417,56,828,443
0,0.61,744,18250,19406,13729,12122,84,2226,282
1,6.2,750,10860,14068,8187,14409,40,609,500
1,3.17,747,6713,12944,10111,14329,44,659,570
0,1.53,750,10082,18917,14979,15535,104,2109,350
0,3.02,750,16509,17214,12503,7979,44,880,349
0,1.51,747,10035,9628,8533,19746,68,1204,404
1,5.43,741,3561,5533,4948,1788,88,1289,1024
1,8.17,744,746,1636,1229,11351,92,1351,1025
0,4.54,749,3717,9139,6303,11726,48,999,345
1,3.78,749,65,10805,9692,4415,76,1132,1024
0,0.47,750,16455,16700,13342,8590,80,2034,258
0,1.18,749,15267,18736,14973,9333,48,1287,277
0,2.02,750,9537,17180,13663,11229,60,1472,270
1,4.37,744,7488,2709,1782,5796,72,1088,1024
0,1.07,749,3089,16813,14734,12232,44,753,404
0,4.12,748,6183,19618,18346,10057,60,1235,367
0,7.23,747,5346,12540,9043,10781,72,1082,943
1,1.76,744,3754,1115,2400,7604,84,1243,1024
1,5.61,744,1956,2793,2635,28565,64,970,768
0,2.48,750,2696,10877,6125,10091,92,2354,264
0,5.24,743,11771,6974,4701,10263,84,1866,358
0,0.85,744,17393,16694,14784,10403,76,1935,260
0,2.9,748,9862,17158,13418,9318,44,1098,274
1,3.59,745,7641,2346,2033,2110,68,1045,1024
0,4.87,750,7608,5569,5865,7742,52,777,694
0,1.74,745,13227,15068,13277,12332,108,2679,308
0,6.58,748,17010,20004,14943,9426,48,725,616
1,8.69,745,4419,8506,5970,13139,52,785,646
1,3.45,746,7742,10232,7304,6085,80,1199,1024
1,0.66,748,17351,18682,13591,9805,32,861,272
1,4.65,744,6238,8981,7726,2271,84,1246,1024
1,6.91,742,714,1961,1787,1499,88,1345,1024
0,2.91,745,10821,20064,14937,18058,72,1356,427
1,6.45,745,5283,9540,8746,18197,68,1008,654
1,3.88,746,2912,511,1449,5018,76,1136,1024
1,3.88,750,5376,15124,12768,14287,84,1242,901
1,9.03,744,1307,3252,3359,10611,64,975,1025
1,7.3,748,5306,7672,6388,6401,72,1080,1024
0,4.64,743,12454,18022,10135,8663,44,871,357
0,0.43,749,14292,18886,13967,11549,64,1687,278
0,2.96,744,17321,18360,12865,7755,44,1100,288
1,5.67,745,4551,3822,2767,13461,64,957,573
0,1.73,750,1834,7950,4972,9839,36,867,337
0,0.99,744,6616,16719,15380,9182,68,1731,259
1,3.04,748,3549,16802,16695,8429,44,668,474
0,1.66,745,8022,14539,17951,10441,36,755,348
1,1.39,749,13721,17317,10957,9440,48,817,428
0,1.16,745,1817,7517,7245,10958,108,2572,275
0,2.33,750,15238,17006,11464,6380,76,1902,272
1,8.74,742,12710,4874,4170,8861,56,843,572
1,8.84,736,1341,1237,912,5838,72,1086,1025
1,1.15,750,5085,14730,17834,9423,76,1385,369
1,6.79,740,4348,2549,1545,4202,76,1130,1024
0,2.67,746,16075,17977,15634,9656,52,1395,266
0,4.02,747,17134,18763,15713,11902,40,645,486
1,5.18,745,7920,7388,4074,8833,136,2076,630
0,3.65,746,4174,3160,2722,7441,52,836,454
1,4.61,748,10018,9305,6731,6604,80,1194,1024
1,1.71,744,3904,14814,15931,13166,96,1454,881
1,7.03,746,11932,16518,9902,25795,68,1018,958
1,1.97,739,2452,4020,2721,2605,76,1130,1024
0,3.62,751,13058,11189,13615,10895,92,1490,421
0,2.17,743,14253,16560,9787,17023,80,1418,374
1,2.22,745,5415,18703,16934,9255,60,900,677
0,7.08,750,10759,15540,17413,10231,80,1617,345
0,2.53,744,4478,15927,15525,13267,104,2388,290
0,2.93,745,3382,11421,10105,12476,56,1224,339
1,2.63,746,2251,2846,1983,4105,68,1026,1024
0,3.48,750,5683,14322,15721,11861,48,919,419
1,5.29,741,2041,2105,1324,2413,80,1196,1024
1,7.04,746,8631,11077,14276,15757,68,1010,938
