NLOS,RANGE,FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC
0.0,5.03,749.0,9819.0,18022.0,9326.0,1068.0,856.0
1.0,2.89,748.0,568.0,11739.0,9604.0,1015.0,1024.0
0.0,2.16,750.0,6414.0,17788.0,13584.0,2804.0,320.0
1.0,1.28,744.0,3693.0,8914.0,9633.0,717.0,492.0
0.0,1.49,746.0,11914.0,17712.0,9656.0,838.0,329.0
0.0,1.64,747.0,9340.0,19035.0,11989.0,1853.0,323.0
0.0,4.7,745.0,9025.0,8083.0,17203.0,1818.0,402.0
0.0,2.91,745.0,15614.0,2652.0,7634.0,836.0,339.0
1.0,3.96,747.0,3645.0,3450.0,1301.0,1266.0,1024.0
0.0,6.35,747.0,4006.0,17237.0,6056.0,905.0,526.0
0.0,2.63,748.0,9053.0,20112.0,10565.0,882.0,513.0
0.0,4.44,744.0,9479.0,18578.0,8798.0,781.0,660.0
1.0,2.06,744.0,428.0,17173.0,11102.0,3324.0,748.0
1.0,5.25,741.0,1776.0,4416.0,4234.0,1207.0,1024.0
0.0,3.29,751.0,14847.0,19109.0,11173.0,724.0,425.0
0.0,0.21,744.0,19727.0,20104.0,12437.0,3519.0,308.0
0.0,1.56,745.0,16573.0,18091.0,12729.0,1797.0,269.0
0.0,1.62,748.0,16657.0,15643.0,15499.0,1666.0,315.0
0.0,6.61,744.0,14211.0,5634.0,14863.0,1263.0,1024.0
1.0,0.82,743.0,3306.0,7307.0,12260.0,836.0,627.0
0.0,0.68,750.0,17550.0,18392.0,10724.0,2009.0,266.0
0.0,6.08,750.0,3729.0,4570.0,12921.0,1567.0,469.0
1.0,5.33,741.0,3036.0,2296.0,3971.0,1258.0,1024.0
0.0,2.18,748.0,7090.0,18178.0,24308.0,968.0,495.0
0.0,2.01,751.0,15642.0,19478.0,12303.0,1698.0,287.0
0.0,2.02,751.0,14762.0,18938.0,14524.0,950.0,490.0
0.0,4.05,750.0,5549.0,17214.0,6394.0,803.0,350.0
0.0,1.7,750.0,15300.0,17022.0,11018.0,1620.0,277.0
0.0,3.36,749.0,14964.0,10217.0,25028.0,1413.0,522.0
0.0,2.74,749.0,18664.0,19562.0,10588.0,1799.0,283.0
0.0,2.6,748.0,17454.0,17163.0,12178.0,2054.0,269.0
0.0,6.51,751.0,8010.0,12604.0,9359.0,1684.0,305.0
1.0,7.51,748.0,12080.0,18908.0,10629.0,1407.0,337.0
1.0,1.74,748.0,3899.0,7931.0,8256.0,879.0,414.0
1.0,1.31,743.0,2036.0,6285.0,12080.0,1204.0,950.0
0.0,1.49,748.0,5146.0,14076.0,16072.0,2631.0,338.0
1.0,4.94,748.0,4121.0,3867.0,6298.0,1190.0,1024.0
0.0,5.57,747.0,12893.0,7888.0,11646.0,890.0,743.0
1.0,7.57,742.0,3010.0,5283.0,1240.0,1033.0,1024.0
1.0,6.22,750.0,7355.0,18970.0,14875.0,784.0,553.0
0.0,5.41,751.0,11087.0,12420.0,13596.0,728.0,407.0
0.0,2.73,746.0,15365.0,18122.0,11191.0,1057.0,322.0
0.0,5.17,750.0,9444.0,17860.0,5808.0,660.0,475.0
0.0,5.12,747.0,22.0,20183.0,11036.0,833.0,614.0
1.0,4.85,747.0,8670.0,9135.0,6767.0,1201.0,1024.0
1.0,4.47,743.0,12356.0,17641.0,6175.0,739.0,547.0
0.0,2.84,748.0,7290.0,9598.0,14401.0,1010.0,548.0
0.0,1.47,749.0,18350.0,17669.0,10857.0,2362.0,273.0
0.0,1.99,745.0,2138.0,13093.0,8518.0,1537.0,273.0
1.0,7.98,741.0,1952.0,4916.0,1328.0,1022.0,1024.0
0.0,1.44,746.0,12350.0,8208.0,11212.0,1240.0,312.0
1.0,3.16,747.0,395.0,5006.0,3703.0,1254.0,1024.0
0.0,2.44,748.0,5245.0,13324.0,17238.0,2296.0,364.0
0.0,1.16,750.0,2975.0,10186.0,13898.0,2118.0,320.0
1.0,3.76,741.0,2786.0,3082.0,1125.0,1017.0,992.0
1.0,3.53,748.0,7377.0,5340.0,4790.0,1132.0,1024.0
0.0,3.64,751.0,2279.0,15526.0,17932.0,2446.0,386.0
1.0,4.1,744.0,16613.0,15345.0,8654.0,572.0,326.0
1.0,2.33,744.0,8430.0,18025.0,12441.0,3376.0,769.0
0.0,2.8,744.0,5820.0,7013.0,18022.0,902.0,426.0
1.0,9.53,745.0,3987.0,9217.0,5749.0,1180.0,1025.0
0.0,1.69,748.0,9348.0,10425.0,11754.0,1534.0,301.0
0.0,2.75,749.0,9913.0,9316.0,9978.0,1134.0,334.0
0.0,3.74,745.0,11800.0,15558.0,11423.0,819.0,443.0
1.0,5.99,747.0,495.0,780.0,31.0,654.0,288.0
0.0,4.01,749.0,5537.0,18296.0,10872.0,1366.0,382.0
1.0,3.29,739.0,1495.0,1787.0,2999.0,1128.0,1024.0
0.0,6.17,749.0,7490.0,17815.0,9815.0,842.0,728.0
1.0,4.53,742.0,934.0,4804.0,2132.0,1313.0,992.0
0.0,1.2,749.0,18447.0,16747.0,10877.0,1630.0,279.0
1.0,10.91,745.0,2454.0,280.0,692.0,949.0,672.0
0.0,3.17,743.0,12036.0,4167.0,18258.0,830.0,581.0
0.0,2.77,744.0,6102.0,1918.0,18707.0,899.0,627.0
1.0,3.94,745.0,12068.0,18898.0,12974.0,1066.0,869.0
0.0,7.08,749.0,7954.0,8561.0,18461.0,1779.0,598.0
1.0,8.98,742.0,3635.0,423.0,4430.0,1033.0,1025.0
0.0,0.75,751.0,19482.0,20151.0,13224.0,3680.0,312.0
1.0,7.76,749.0,6034.0,5254.0,1673.0,4399.0,1025.0
1.0,1.07,752.0,156.0,12727.0,9338.0,803.0,371.0
1.0,0.84,743.0,17150.0,17417.0,9723.0,1443.0,264.0
0.0,1.13,750.0,2478.0,10539.0,10193.0,1731.0,286.0
1.0,3.0,750.0,6214.0,14066.0,7945.0,1083.0,1024.0
0.0,0.56,750.0,9100.0,5247.0,6843.0,955.0,279.0
0.0,1.28,751.0,13609.0,17710.0,8555.0,800.0,321.0
0.0,1.48,743.0,15490.0,17179.0,9762.0,1842.0,264.0
1.0,3.61,747.0,11215.0,20086.0,9186.0,895.0,646.0
1.0,7.1,746.0,5947.0,9896.0,8170.0,1139.0,1024.0
0.0,5.06,747.0,18063.0,13125.0,10186.0,780.0,597.0
1.0,3.23,744.0,1368.0,4857.0,1420.0,1311.0,1024.0
0.0,2.6,743.0,7478.0,11747.0,14567.0,898.0,423.0
0.0,3.86,744.0,2488.0,16361.0,12760.0,781.0,553.0
0.0,0.91,750.0,120.0,18759.0,9932.0,929.0,289.0
1.0,7.75,744.0,13079.0,18290.0,20157.0,1024.0,1024.0
1.0,1.02,747.0,11167.0,3499.0,8389.0,1131.0,568.0
0.0,3.76,750.0,20127.0,19748.0,13039.0,1618.0,337.0
1.0,4.76,741.0,4568.0,3570.0,8898.0,1152.0,1024.0
0.0,2.3,745.0,4595.0,1922.0,12506.0,1258.0,426.0
1.0,2.93,747.0,10294.0,19468.0,9938.0,710.0,523.0
0.0,3.0,747.0,9018.0,16637.0,9874.0,1838.0,317.0
0.0,0.6,749.0,18477.0,5675.0,12132.0,945.0,304.0
0.0,2.56,748.0,14264.0,15031.0,12482.0,1008.0,318.0
0.0,2.21,748.0,3712.0,16895.0,11420.0,1724.0,264.0
1.0,4.68,741.0,4773.0,5016.0,4138.0,1078.0,1024.0
0.0,1.19,751.0,7464.0,18219.0,8798.0,1692.0,266.0
0.0,2.09,743.0,18481.0,18662.0,13794.0,2712.0,295.0
0.0,3.77,746.0,4684.0,11218.0,11148.0,945.0,814.0
0.0,1.14,748.0,18966.0,17453.0,11665.0,1389.0,278.0
0.0,1.63,746.0,1977.0,8991.0,9912.0,2344.0,264.0
1.0,3.75,740.0,4397.0,881.0,9019.0,1202.0,1024.0
1.0,4.09,749.0,2317.0,5113.0,4605.0,1030.0,1024.0
0.0,1.19,750.0,11694.0,17629.0,9499.0,2594.0,268.0
1.0,5.16,748.0,8785.0,5273.0,6560.0,910.0,1024.0
0.0,1.47,745.0,11921.0,14455.0,10896.0,1966.0,263.0
1.0,1.68,745.0,3875.0,10048.0,10971.0,1067.0,653.0
1.0,6.34,741.0,848.0,2798.0,510.0,1014.0,768.0
1.0,2.7,733.0,964.0,2021.0,5179.0,1024.0,1024.0
1.0,8.79,744.0,1467.0,3573.0,7643.0,1037.0,1024.0
1.0,6.18,744.0,6071.0,8678.0,11132.0,780.0,497.0
1.0,8.89,750.0,17302.0,20420.0,13756.0,1020.0,751.0
1.0,5.54,748.0,5070.0,8694.0,3544.0,1076.0,1024.0
1.0,3.53,743.0,6229.0,4587.0,3932.0,1320.0,1024.0
0.0,0.83,746.0,16210.0,19722.0,11565.0,1035.0,299.0
0.0,5.25,751.0,6609.0,19636.0,8585.0,1159.0,341.0
0.0,1.3,745.0,6832.0,14265.0,10266.0,727.0,403.0
0.0,2.08,749.0,7825.0,18301.0,12916.0,2635.0,322.0
1.0,1.57,751.0,11405.0,17407.0,12750.0,898.0,607.0
1.0,4.59,742.0,474.0,2669.0,946.0,1211.0,1024.0
0.0,1.1,749.0,17039.0,18044.0,11239.0,2577.0,262.0
0.0,1.1,745.0,8789.0,10701.0,10233.0,900.0,289.0
1.0,4.29,743.0,120.0,8574.0,4043.0,1136.0,1024.0
0.0,1.83,751.0,4319.0,9503.0,10580.0,2291.0,287.0
1.0,2.54,735.0,4458.0,2724.0,3290.0,1260.0,1024.0
1.0,2.31,749.0,11273.0,18139.0,8339.0,776.0,562.0
0.0,4.51,749.0,4878.0,14955.0,8448.0,1311.0,312.0
0.0,3.51,747.0,5290.0,2108.0,13858.0,1710.0,402.0
1.0,3.83,747.0,2655.0,3752.0,11431.0,839.0,573.0
1.0,6.94,743.0,5005.0,8055.0,9842.0,723.0,582.0
1.0,3.52,746.0,6762.0,1542.0,10098.0,1202.0,1024.0
1.0,4.19,748.0,2460.0,5992.0,2670.0,1253.0,1024.0
1.0,7.68,743.0,4677.0,1632.0,8310.0,1091.0,1024.0
1.0,1.37,749.0,10656.0,10409.0,8653.0,1885.0,469.0
1.0,4.64,737.0,1460.0,1361.0,1375.0,1138.0,1024.0
0.0,1.26,751.0,12755.0,20324.0,12597.0,1956.0,353.0
1.0,9.17,744.0,5002.0,7938.0,9940.0,1094.0,1025.0
1.0,2.73,749.0,11983.0,18200.0,6408.0,831.0,322.0
0.0,7.05,744.0,6726.0,1857.0,2919.0,1075.0,1025.0
0.0,4.16,746.0,3013.0,18447.0,7851.0,1546.0,305.0
1.0,5.8,747.0,6129.0,4071.0,1404.0,1040.0,992.0
0.0,4.9,743.0,12861.0,17446.0,5745.0,1559.0,291.0
1.0,5.25,750.0,1995.0,4224.0,2200.0,1305.0,1024.0
0.0,0.7,745.0,7119.0,7085.0,13412.0,1136.0,356.0
1.0,2.56,746.0,3914.0,6677.0,5869.0,1088.0,1024.0
1.0,5.87,751.0,7037.0,18712.0,7101.0,2015.0,460.0
0.0,1.06,745.0,8188.0,17277.0,8932.0,1725.0,261.0
1.0,3.73,743.0,6250.0,5852.0,3628.0,1082.0,1024.0
1.0,9.28,746.0,3490.0,3680.0,4843.0,1434.0,1024.0
0.0,2.95,748.0,8865.0,12961.0,8765.0,760.0,416.0
0.0,0.92,745.0,18538.0,17194.0,15262.0,791.0,418.0
1.0,5.8,746.0,4651.0,13447.0,14597.0,1078.0,1024.0
1.0,5.89,748.0,4326.0,4725.0,2939.0,1100.0,1024.0
1.0,1.82,740.0,2086.0,2657.0,2834.0,1199.0,1024.0
0.0,1.53,744.0,16348.0,18130.0,13486.0,1386.0,330.0
0.0,2.31,746.0,14749.0,19012.0,14676.0,1129.0,403.0
1.0,0.72,750.0,17373.0,17533.0,9611.0,1725.0,267.0
0.0,0.07,749.0,18708.0,17536.0,11070.0,1786.0,276.0
1.0,5.4,739.0,1107.0,1594.0,4624.0,1420.0,1024.0
0.0,1.68,744.0,3930.0,9629.0,9363.0,1294.0,299.0
0.0,1.9,749.0,9029.0,9113.0,8798.0,1090.0,315.0
0.0,5.54,750.0,120.0,13179.0,9625.0,1087.0,1024.0
1.0,6.26,749.0,5803.0,6970.0,5345.0,1185.0,1024.0
1.0,4.19,747.0,1424.0,2792.0,7386.0,801.0,372.0
1.0,3.6,747.0,3775.0,4647.0,3211.0,1134.0,1024.0
0.0,5.78,750.0,10081.0,4854.0,15831.0,950.0,429.0
1.0,4.98,747.0,3084.0,2419.0,1933.0,1080.0,1024.0
1.0,5.98,749.0,6960.0,4592.0,3128.0,2916.0,1024.0
1.0,5.8,744.0,3926.0,10575.0,14123.0,794.0,488.0
0.0,0.83,748.0,17460.0,17311.0,9226.0,2636.0,259.0
1.0,7.95,739.0,273.0,3854.0,8079.0,1135.0,1024.0
0.0,6.96,744.0,6736.0,2493.0,9393.0,1012.0,1024.0
0.0,1.25,745.0,16736.0,18146.0,10919.0,2224.0,265.0
0.0,2.32,745.0,2173.0,16761.0,8992.0,959.0,331.0
1.0,9.35,740.0,1468.0,1371.0,5115.0,1256.0,1024.0
0.0,0.68,747.0,18569.0,18045.0,10541.0,2337.0,269.0
1.0,9.07,747.0,13341.0,8468.0,13232.0,950.0,792.0
0.0,3.56,744.0,4963.0,10545.0,10651.0,681.0,415.0
0.0,2.51,749.0,1059.0,10953.0,10114.0,723.0,390.0
0.0,0.7,751.0,16800.0,15468.0,11955.0,2524.0,265.0
0.0,0.74,751.0,2770.0,17279.0,12525.0,2273.0,279.0
1.0,1.93,746.0,7562.0,7724.0,13260.0,955.0,1024.0
0.0,5.92,746.0,3928.0,13330.0,22316.0,1559.0,563.0
0.0,6.25,746.0,13291.0,16702.0,21519.0,953.0,668.0
1.0,1.27,746.0,15036.0,20153.0,10148.0,1382.0,437.0
1.0,9.25,734.0,3094.0,4008.0,5133.0,1233.0,1025.0
0.0,2.63,744.0,18607.0,5504.0,10861.0,924.0,372.0
0.0,4.94,745.0,15817.0,20497.0,16157.0,1070.0,721.0
1.0,1.8,745.0,1844.0,1659.0,9017.0,1142.0,316.0
0.0,2.35,749.0,17248.0,6516.0,19558.0,1763.0,426.0
1.0,6.51,740.0,1320.0,1686.0,1644.0,1194.0,1024.0
1.0,3.34,745.0,5513.0,5247.0,3717.0,1132.0,1024.0
0.0,0.56,751.0,17879.0,17769.0,10909.0,2862.0,263.0
1.0,5.08,742.0,9674.0,10694.0,6029.0,1075.0,1024.0
0.0,3.04,749.0,6836.0,12336.0,16248.0,830.0,599.0
0.0,1.27,750.0,14613.0,16207.0,11955.0,1234.0,289.0
1.0,5.75,749.0,3426.0,6898.0,21818.0,1061.0,571.0
0.0,4.93,745.0,11496.0,17285.0,6220.0,1113.0,296.0
1.0,8.66,736.0,2113.0,3446.0,7652.0,1018.0,1025.0
1.0,3.23,746.0,9203.0,5868.0,5583.0,1075.0,1024.0
1.0,4.45,743.0,1428.0,2391.0,16143.0,1008.0,825.0
0.0,0.85,746.0,16374.0,16288.0,11118.0,1555.0,275.0
1.0,2.32,743.0,5178.0,3626.0,2322.0,1253.0,1024.0
0.0,1.78,745.0,2996.0,7560.0,8026.0,955.0,274.0
0.0,1.82,749.0,14745.0,18736.0,11504.0,1276.0,324.0
1.0,1.26,745.0,8204.0,12842.0,13264.0,2886.0,1024.0
0.0,1.9,751.0,16314.0,16754.0,8181.0,798.0,265.0
0.0,3.36,750.0,7260.0,17128.0,10602.0,810.0,388.0
0.0,0.89,749.0,14216.0,17669.0,10436.0,2135.0,261.0
1.0,3.22,748.0,10455.0,13756.0,9750.0,1076.0,1024.0
1.0,6.29,742.0,7741.0,2417.0,21084.0,958.0,570.0
0.0,0.82,750.0,6415.0,4023.0,12301.0,1045.0,323.0
0.0,4.29,749.0,13063.0,16018.0,23056.0,893.0,489.0
0.0,0.28,743.0,18515.0,18474.0,12260.0,2240.0,267.0
1.0,1.68,748.0,10190.0,10046.0,15863.0,3843.0,926.0
0.0,4.16,745.0,7694.0,13610.0,8789.0,716.0,529.0
1.0,9.87,749.0,4329.0,12551.0,9666.0,1090.0,1025.0
1.0,9.83,740.0,4650.0,1180.0,4126.0,1071.0,1025.0
0.0,2.62,746.0,3591.0,5067.0,7840.0,869.0,293.0
1.0,6.33,739.0,3958.0,898.0,2723.0,1080.0,1024.0
0.0,1.8,750.0,3302.0,12716.0,17701.0,2259.0,365.0
0.0,3.83,748.0,9329.0,17078.0,11786.0,897.0,451.0
1.0,7.0,747.0,2754.0,1864.0,17381.0,1192.0,700.0
1.0,9.76,736.0,1450.0,1809.0,2392.0,1081.0,992.0
0.0,4.92,745.0,15821.0,20014.0,9272.0,778.0,572.0
1.0,3.67,727.0,1303.0,1409.0,1242.0,1320.0,1024.0
1.0,1.69,747.0,11941.0,19793.0,7684.0,884.0,405.0
1.0,9.63,738.0,1197.0,1339.0,3305.0,1129.0,1024.0
1.0,3.83,739.0,5518.0,6807.0,7574.0,1072.0,1024.0
1.0,8.21,740.0,4115.0,3383.0,9633.0,1092.0,1024.0
1.0,4.47,737.0,2074.0,2900.0,2015.0,1305.0,1024.0
0.0,1.01,746.0,3772.0,18193.0,12003.0,1225.0,334.0
0.0,2.68,747.0,10879.0,18898.0,7914.0,1775.0,284.0
1.0,8.28,746.0,4686.0,7085.0,6939.0,1242.0,1025.0
0.0,0.92,747.0,5603.0,17325.0,10337.0,1859.0,270.0
0.0,1.86,747.0,1479.0,1819.0,8066.0,1486.0,266.0
1.0,1.46,750.0,8114.0,20221.0,11180.0,1111.0,419.0
0.0,2.36,751.0,19252.0,16757.0,11478.0,890.0,539.0
1.0,6.53,750.0,2891.0,10558.0,6575.0,3903.0,1024.0
1.0,1.86,744.0,3727.0,5590.0,5569.0,1079.0,1024.0
1.0,1.07,743.0,15681.0,4026.0,11433.0,1947.0,467.0
1.0,1.56,750.0,158.0,16329.0,14175.0,1087.0,1024.0
0.0,2.02,750.0,16846.0,16914.0,11467.0,1009.0,317.0
1.0,5.85,750.0,11268.0,16006.0,16339.0,719.0,490.0
0.0,2.66,747.0,4101.0,11888.0,14259.0,766.0,420.0
1.0,1.79,747.0,18127.0,18024.0,17916.0,3501.0,827.0
0.0,0.78,745.0,17967.0,18306.0,12147.0,1326.0,302.0
0.0,5.64,745.0,8105.0,6196.0,15435.0,1495.0,479.0
0.0,1.39,749.0,12897.0,18892.0,8061.0,1471.0,297.0
1.0,8.43,733.0,1999.0,911.0,3029.0,1297.0,1024.0
0.0,1.36,747.0,8610.0,17599.0,9308.0,1655.0,263.0
0.0,4.77,746.0,6384.0,18673.0,6792.0,1673.0,317.0
0.0,5.65,744.0,2966.0,6094.0,14538.0,1736.0,432.0
0.0,6.52,747.0,18346.0,9042.0,12887.0,1536.0,376.0
0.0,3.53,748.0,13854.0,12224.0,12686.0,1986.0,342.0
1.0,9.68,741.0,3849.0,6794.0,5837.0,1178.0,1024.0
0.0,2.5,750.0,11878.0,17979.0,9215.0,1550.0,289.0
1.0,7.25,745.0,2958.0,3513.0,11362.0,895.0,481.0
0.0,3.6,748.0,4166.0,7674.0,7934.0,1154.0,276.0
0.0,4.04,751.0,13515.0,16488.0,11450.0,956.0,332.0
0.0,4.24,745.0,13591.0,10212.0,10800.0,662.0,550.0
1.0,4.9,745.0,3139.0,3634.0,12031.0,953.0,705.0
1.0,4.1,748.0,2338.0,5047.0,1565.0,1085.0,1024.0
0.0,4.13,745.0,13592.0,19200.0,10779.0,848.0,639.0
0.0,3.32,746.0,15562.0,11520.0,11324.0,1275.0,340.0
0.0,2.56,745.0,16368.0,18593.0,15472.0,712.0,531.0
1.0,1.08,748.0,18257.0,19992.0,9854.0,1234.0,305.0
0.0,2.61,745.0,9376.0,14269.0,10404.0,1041.0,343.0
1.0,3.36,745.0,12301.0,6619.0,11856.0,907.0,658.0
0.0,1.57,749.0,12716.0,10076.0,14083.0,1634.0,348.0
0.0,0.95,750.0,13860.0,20130.0,13414.0,2234.0,310.0
1.0,0.8,746.0,17861.0,18606.0,8779.0,1235.0,311.0
1.0,6.36,744.0,8516.0,11196.0,3673.0,1031.0,1024.0
1.0,6.61,743.0,10548.0,8302.0,7081.0,1022.0,899.0
0.0,1.87,743.0,11338.0,13647.0,21516.0,2455.0,411.0
0.0,3.21,750.0,8213.0,10436.0,10583.0,1174.0,325.0
0.0,3.99,750.0,8707.0,17913.0,9295.0,1295.0,438.0
1.0,4.89,742.0,2194.0,5593.0,1817.0,1259.0,1024.0
0.0,1.06,747.0,16963.0,18245.0,11867.0,2015.0,276.0
0.0,4.8,749.0,8458.0,10115.0,10951.0,782.0,611.0
0.0,0.84,746.0,18960.0,17975.0,10870.0,1604.0,276.0
1.0,2.17,744.0,8077.0,18284.0,11361.0,787.0,584.0
1.0,3.2,745.0,5623.0,6876.0,7473.0,1085.0,1024.0
1.0,9.08,735.0,1858.0,1594.0,3575.0,1151.0,1024.0
0.0,1.44,745.0,16968.0,17276.0,8215.0,2307.0,261.0
1.0,3.68,748.0,15987.0,19773.0,8907.0,900.0,618.0
1.0,6.38,740.0,3209.0,2652.0,15017.0,1191.0,700.0
1.0,1.91,749.0,11573.0,14065.0,12337.0,3325.0,797.0
0.0,0.69,746.0,3839.0,16657.0,15545.0,3010.0,288.0
1.0,2.67,748.0,7863.0,12186.0,10153.0,4498.0,1024.0
0.0,3.57,745.0,8685.0,17460.0,10348.0,1161.0,453.0
0.0,6.19,749.0,3169.0,8008.0,11939.0,1755.0,385.0
1.0,4.03,738.0,2779.0,2463.0,4409.0,1192.0,1024.0
0.0,5.22,747.0,10900.0,15478.0,12694.0,1770.0,347.0
0.0,2.5,752.0,13896.0,16931.0,12097.0,1735.0,290.0
0.0,5.46,750.0,13491.0,19766.0,10107.0,718.0,437.0
0.0,0.93,749.0,2717.0,12913.0,17168.0,1734.0,363.0
1.0,2.35,733.0,732.0,2063.0,796.0,1080.0,800.0
1.0,7.25,748.0,9004.0,6706.0,10647.0,1190.0,354.0
1.0,7.71,746.0,4265.0,9698.0,21040.0,966.0,629.0
0.0,1.39,749.0,18078.0,20032.0,11653.0,2241.0,285.0
0.0,1.44,746.0,9066.0,8963.0,11503.0,1095.0,351.0
0.0,3.55,748.0,17708.0,19573.0,9673.0,1622.0,289.0
1.0,6.46,748.0,12459.0,12299.0,14139.0,717.0,462.0
1.0,9.7,737.0,328.0,1271.0,2260.0,1263.0,1024.0
0.0,4.13,744.0,9629.0,18951.0,8795.0,1295.0,382.0
1.0,4.52,744.0,8121.0,5933.0,8359.0,1194.0,1024.0
0.0,6.34,745.0,10859.0,17296.0,9150.0,1181.0,880.0
1.0,6.34,748.0,3923.0,9123.0,3936.0,1810.0,1024.0
1.0,4.56,747.0,4393.0,3306.0,1575.0,1072.0,1024.0
1.0,3.89,741.0,1412.0,2189.0,2572.0,1205.0,1024.0
0.0,2.0,746.0,18362.0,16870.0,13171.0,1007.0,326.0
0.0,1.55,748.0,8105.0,18751.0,12965.0,788.0,366.0
1.0,1.25,745.0,9300.0,15465.0,11999.0,844.0,605.0
0.0,2.3,751.0,4945.0,14511.0,17173.0,1159.0,399.0
1.0,7.5,748.0,5433.0,6444.0,16253.0,1140.0,1024.0
1.0,6.56,748.0,6875.0,5559.0,13720.0,1010.0,652.0
0.0,2.13,744.0,8548.0,18980.0,9813.0,1845.0,283.0
0.0,3.39,748.0,11098.0,16663.0,5727.0,1092.0,309.0
0.0,0.64,745.0,6634.0,17536.0,12669.0,4192.0,275.0
0.0,1.21,747.0,17099.0,17949.0,11429.0,1502.0,260.0
0.0,5.36,746.0,19173.0,19166.0,9095.0,1298.0,280.0
1.0,3.51,741.0,6993.0,4012.0,4677.0,1176.0,1024.0
0.0,0.28,750.0,13399.0,17611.0,9093.0,1750.0,265.0
1.0,5.79,743.0,10349.0,19165.0,8938.0,1497.0,905.0
1.0,1.83,749.0,9398.0,18278.0,10101.0,2947.0,731.0
1.0,6.66,746.0,6870.0,10086.0,3645.0,1083.0,1024.0
1.0,8.71,737.0,2026.0,3411.0,4262.0,1184.0,1025.0
0.0,0.95,746.0,18001.0,15667.0,8122.0,981.0,268.0
0.0,1.32,748.0,14154.0,17242.0,11474.0,1329.0,261.0
0.0,4.04,750.0,13024.0,16649.0,11814.0,1524.0,372.0
1.0,5.78,749.0,4808.0,11879.0,4534.0,2728.0,1024.0
0.0,0.82,748.0,19248.0,19298.0,11676.0,1933.0,289.0
1.0,1.17,748.0,8286.0,17761.0,8596.0,1019.0,595.0
0.0,1.23,747.0,8758.0,16943.0,9437.0,1080.0,316.0
1.0,6.14,750.0,9844.0,18341.0,20926.0,1011.0,882.0
1.0,7.01,746.0,5369.0,10309.0,3468.0,930.0,1024.0
0.0,1.95,746.0,3919.0,14032.0,15851.0,1138.0,385.0
1.0,1.81,748.0,6828.0,8962.0,9096.0,1133.0,1024.0
0.0,3.74,745.0,5845.0,14055.0,9349.0,916.0,372.0
1.0,3.26,744.0,2457.0,6176.0,2750.0,1029.0,1024.0
0.0,3.4,751.0,4051.0,11956.0,8920.0,739.0,414.0
0.0,1.62,749.0,3784.0,11657.0,12322.0,722.0,368.0
0.0,1.71,751.0,16766.0,8235.0,11268.0,1868.0,266.0
0.0,3.86,750.0,13126.0,5301.0,16892.0,1865.0,383.0
0.0,3.51,749.0,12996.0,19075.0,9820.0,1125.0,636.0
1.0,4.4,745.0,6146.0,10266.0,3234.0,1268.0,1024.0
1.0,3.11,742.0,1320.0,3712.0,6422.0,1074.0,1024.0
0.0,1.6,747.0,5101.0,16880.0,8659.0,2129.0,264.0
0.0,1.54,750.0,14675.0,19641.0,15696.0,1010.0,374.0
